id,nome,escolas
1,FIGUEIRÊDO,9
2,ALTO BRANCO,5
3,ARAXÁ,1
4,BELA VISTA,8
5,BODOCONGÓ,20
6,CASTELO BRANCO,3
7,CATOLÉ,24
8,CENTENÁRIO,4
9,CENTRO,15
10,CIDADES,3
11,CONCEIÇÃO,4
12,CRUZEIRO,12
13,CUITÉS,3
14,DINAMÉRICA,2
15,DISTRITO INDUSTRIAL,2
16,ESTAÇÃO VELHA,6
17,ITARARÉ,1
18,JARDIM CONTINENTAL,2
19,JARDIM PAULISTANO,3
20,JARDIM TAVARES,5
21,JEREMIAS,6
22,JOSÉ PINHEIRO,15
23,LAURITZEN,2
24,LIBERDADE,15
25,MALVINAS,30
26,MIRANTE,2
27,MONTE CASTELO,7
28,MONTE SANTO,6
29,NAÇÕES,1
30,NOVA BRASÍLIA,5
31,NOVO BODOCONGÓ,1
32,PALMEIRA,5
33,PEDREGAL,6
34,PRATA,9
35,MÉDICI,5
36,QUARENTA,4
37,RAMADINHA,3
38,SANDRA CAVALCANTE,7
39,SANTA CRUZ,8
40,SANTA ROSA,13
41,SANTO ANTÔNIO,2
42,SERROTÃO,2
43,SÃO JOSÉ,6
44,TAMBOR,7
45,TRÊS IRMÃS,9
46,UNIVERSITÁRIO,2
47,VELAME,3
48,VILA CABRAL,1
49,LOUZEIRO,0
